12,09,2022,11,40,05,51.539,18.649,54.817,54.905,CW
12,09,2022,11,40,06,51.539,20.895,54.817,54.902,CW
12,09,2022,11,40,06,51.539,21.697,54.817,54.900,CW
12,09,2022,11,40,07,51.539,23.237,54.817,54.890,CW
12,09,2022,11,40,07,51.539,25.488,54.817,54.883,CW
12,09,2022,11,40,08,51.539,27.031,54.817,54.874,CW
12,09,2022,11,40,08,51.539,27.785,54.817,54.872,CW
12,09,2022,11,40,09,51.539,30.068,54.817,54.861,CW
12,09,2022,11,40,09,51.539,31.563,54.817,54.857,CW
12,09,2022,11,40,10,51.539,32.314,54.817,54.851,CW
12,09,2022,11,40,10,51.539,34.656,54.817,54.840,CW
12,09,2022,11,40,11,51.539,36.179,54.817,54.835,CW
12,09,2022,11,40,11,51.539,37.676,54.817,54.829,CW
12,09,2022,11,40,12,51.539,39.199,54.817,54.824,CW
12,09,2022,11,40,12,51.539,40.759,54.817,54.824,CW
12,09,2022,11,40,13,51.539,42.280,54.817,54.822,CW
12,09,2022,11,40,13,51.539,43.800,54.817,54.824,CW
12,09,2022,11,40,14,51.539,45.252,54.817,54.822,CW
12,09,2022,11,40,14,51.539,46.407,54.817,54.818,CW
12,09,2022,11,40,15,51.539,47.350,54.817,54.824,CW
12,09,2022,11,40,15,52.039,48.015,54.733,54.824,CW
12,09,2022,11,40,16,52.039,48.839,54.733,54.817,CW
12,09,2022,11,40,16,52.039,49.255,54.733,54.807,CW
12,09,2022,11,40,17,52.039,49.701,54.733,54.802,CW
12,09,2022,11,40,18,52.039,50.031,54.733,54.791,CW
12,09,2022,11,40,18,52.039,50.437,54.733,54.787,CW
12,09,2022,11,40,19,52.039,50.740,54.733,54.780,CW
12,09,2022,11,40,19,52.039,51.016,54.733,54.776,CW
12,09,2022,11,40,19,52.039,51.174,54.733,54.769,CW
12,09,2022,11,40,20,52.039,51.386,54.733,54.763,CW
12,09,2022,11,40,21,52.039,51.568,54.733,54.752,CW
12,09,2022,11,40,21,52.039,51.684,54.733,54.747,CW
12,09,2022,11,40,22,52.039,51.943,54.733,54.737,CW
12,09,2022,11,40,24,52.039,52.051,54.733,54.736,CW
12,09,2022,11,40,27,52.539,52.393,54.647,54.719,CW
12,09,2022,11,40,30,52.539,52.787,54.647,54.682,CW
12,09,2022,11,40,36,53.039,52.914,54.562,54.642,CW
12,09,2022,11,40,37,53.039,53.047,54.562,54.631,CW
12,09,2022,11,40,46,53.539,53.228,54.475,54.560,CW
12,09,2022,11,40,47,53.539,53.350,54.475,54.554,CW
12,09,2022,11,40,48,53.539,53.464,54.475,54.545,CW
12,09,2022,11,40,58,54.039,53.722,54.388,54.450,CW
12,09,2022,11,40,58,54.039,54.403,54.388,54.449,CW
12,09,2022,11,40,59,54.039,54.281,54.388,54.434,CW
12,09,2022,11,40,59,54.039,54.403,54.388,54.429,CW
12,09,2022,11,41,07,54.539,54.534,54.301,54.383,CW
12,09,2022,11,41,16,55.039,54.689,54.213,54.298,CW
12,09,2022,11,41,17,55.039,54.794,54.213,54.292,CW
12,09,2022,11,41,17,55.039,54.925,54.213,54.281,CW
12,09,2022,11,41,19,55.039,55.028,54.213,54.254,CW
12,09,2022,11,41,23,55.039,55.129,54.213,54.218,CW
12,09,2022,11,41,26,55.539,55.276,54.124,54.212,CW
12,09,2022,11,41,27,55.539,55.458,54.124,54.201,CW
12,09,2022,11,41,35,55.539,55.546,54.124,35.867,CW
12,09,2022,11,41,35,56.039,55.547,54.035,54.131,CW
12,09,2022,11,41,36,56.039,55.683,54.035,54.125,CW
12,09,2022,11,41,37,56.039,55.832,54.035,54.115,CW
